dish_family_id,category_id,is_primary
fam-wd-q1052236,cat-pasta-dishes-18ec3e4d,true
fam-wd-q60977870,cat-dips-and-spreads-3b58ecf2,true
fam-wd-q23907623,cat-dips-and-spreads-3b58ecf2,true
fam-wd-q11076619,cat-soups-58c2caa7,true
fam-wd-q3629971,cat-snacks-and-street-food-7e6d6760,true
fam-wd-q112967822,cat-soups-58c2caa7,true
fam-wd-q367225,cat-soups-58c2caa7,true
fam-wd-q1369093,cat-sandwiches-116c3e15,true
fam-wd-q117971950,cat-sandwiches-116c3e15,true
fam-wd-q25005338,cat-pies-and-pastries-eefde59e,true
fam-wd-q5261363,cat-noodle-dishes-f57723d0,true
fam-wd-q7170363,cat-puddings-and-custards-1664b0f1,true
fam-wd-q27500854,cat-salads-aa3e870c,true
fam-wd-q564560,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q138024294,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q137609355,cat-seafood-dishes-67642233,true
fam-wd-q11061604,cat-breads-and-loaves-c2814f9c,true
fam-wd-q108327562,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q500724,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q91908928,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q18542598,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q86665833,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q7200291,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q115801972,cat-pies-and-pastries-eefde59e,true
fam-wd-q152981,cat-pancakes-and-crepes-283edd96,true
fam-wd-q152964,cat-salads-aa3e870c,true
fam-wd-q16773140,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q865325,cat-wraps-and-rolls-dd6f3471,true
fam-wd-q5571808,cat-stews-ce00fa93,true
fam-wd-q234646,cat-noodle-dishes-f57723d0,true
fam-wd-q23461193,cat-confections-and-sweets-33dd665f,true
fam-wd-q489703,cat-rice-dishes-e5a0eea5,true
fam-wd-q1721014,cat-curries-c13d2ace,true
fam-wd-q1284887,cat-cakes-and-gateaux-d8e29f50,true
fam-wd-q7323065,cat-rice-dishes-e5a0eea5,true
fam-wd-q7446149,cat-rice-dishes-e5a0eea5,true
fam-wd-q4201329,cat-rice-dishes-e5a0eea5,true
fam-wd-q95433527,cat-rice-dishes-e5a0eea5,true
fam-wd-q138782002,cat-rice-dishes-e5a0eea5,true
fam-wd-q860465,cat-braises-and-roasts-6028fcc9,true
fam-wd-q356346,cat-soups-58c2caa7,true
fam-wd-q10659978,cat-pancakes-and-crepes-283edd96,true
fam-wd-q55632427,cat-seafood-dishes-67642233,true
fam-wd-q491517,cat-pies-and-pastries-eefde59e,true
fam-wd-q11249372,cat-noodle-dishes-f57723d0,true
fam-wd-q60750699,cat-pies-and-pastries-eefde59e,true
fam-wd-q119541430,cat-skewers-and-grilled-dishes-08780632,true
fam-wd-q2896374,cat-soups-58c2caa7,true
fam-wd-q18356332,cat-flatbreads-and-pizzas-f0961fe2,true
fam-wd-q7457147,cat-salads-aa3e870c,true
fam-wd-q2474644,cat-egg-dishes-91225177,true
fam-wd-q7489821,cat-sauces-and-condiments-10f97308,true
fam-wd-q55700816,cat-confections-and-sweets-33dd665f,true
