dish_family_id,technique_id,role,is_core,weight
fam-wd-q1293258,tec-boil-29213ba5,core,true,1.000
fam-wd-q1293258,tec-stir-fry-ee979e71,core,true,0.850
fam-wd-q1293258,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q843795,tec-boil-29213ba5,core,true,1.000
fam-wd-q843795,tec-stir-fry-ee979e71,core,true,0.850
fam-wd-q843795,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q4850911,tec-grill-7732deea,core,true,1.000
fam-wd-q4850911,tec-stuff-996e573e,core,true,0.850
fam-wd-q4850911,tec-dress-salad-91d1ae3a,supporting,false,0.700
fam-wd-q510521,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q510521,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q510521,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q16172783,tec-whisk-297ea626,core,true,1.000
fam-wd-q16172783,tec-fold-3d6b3a9d,core,true,0.850
fam-wd-q16172783,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q125475914,tec-laminate-ca13220f,core,true,1.000
fam-wd-q125475914,tec-blind-bake-37c44eed,core,true,0.850
fam-wd-q125475914,tec-brush-wash-a5a993b1,supporting,false,0.700
fam-wd-q107323701,tec-simmer-4a118b1f,core,true,1.000
fam-wd-q107323701,tec-steam-3f9d1489,core,true,0.850
fam-wd-q107323701,tec-rest-9a118f54,supporting,false,0.700
fam-wd-q564271,tec-shape-dumplings-6a83e3ad,core,true,1.000
fam-wd-q564271,tec-steam-3f9d1489,core,true,0.850
fam-wd-q564271,tec-seal-dumplings-059b8850,supporting,false,0.700
fam-wd-q1187319,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q1187319,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q1187319,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q88462839,tec-whisk-297ea626,core,true,1.000
fam-wd-q88462839,tec-fold-3d6b3a9d,core,true,0.850
fam-wd-q88462839,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q2722375,tec-bloom-spices-969673dd,core,true,1.000
fam-wd-q2722375,tec-simmer-4a118b1f,core,true,0.850
fam-wd-q2722375,tec-temper-e0ec7440,supporting,false,0.700
fam-wd-q24951925,tec-whisk-297ea626,core,true,1.000
fam-wd-q24951925,tec-fold-3d6b3a9d,core,true,0.850
fam-wd-q24951925,tec-bake-6c2c6bda,supporting,false,0.700
fam-wd-q4876265,tec-laminate-ca13220f,core,true,1.000
fam-wd-q4876265,tec-blind-bake-37c44eed,core,true,0.850
fam-wd-q4876265,tec-brush-wash-a5a993b1,supporting,false,0.700
fam-wd-q107416756,tec-griddle-717e3046,core,true,1.000
fam-wd-q107416756,tec-toast-033b5dd6,supporting,false,0.700
fam-wd-q1022124,tec-sear-e8cebaee,core,true,1.000
fam-wd-q1022124,tec-braise-4a3832ff,core,true,0.850
fam-wd-q1022124,tec-rest-after-cooking-b2985e35,supporting,false,0.700
fam-wd-q1022124,tec-sweat-aromatics-593b919d,supporting,false,0.550
fam-wd-q62271704,tec-griddle-717e3046,core,true,1.000
fam-wd-q62271704,tec-toast-033b5dd6,supporting,false,0.700
fam-wd-q3638314,tec-coat-pasta-0f9ce17f,core,true,1.000
fam-wd-q3638314,tec-reduce-d97bb11e,core,true,0.850
fam-wd-q3638314,tec-mount-with-butter-f902731b,supporting,false,0.700
fam-wd-q213105,tec-boil-29213ba5,core,true,1.000
fam-wd-q213105,tec-stir-fry-ee979e71,core,true,0.850
fam-wd-q213105,tec-season-to-finish-6e59cbba,supporting,false,0.700
fam-wd-q18456540,tec-steam-3f9d1489,core,true,1.000
fam-wd-q18456540,tec-grill-7732deea,core,true,0.850
