id,slug,name,normalized_name,description,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title,dbpedia_uri,popularity_rank,created_at,updated_at
fam-wd-q62018789,discada,Discada,discada,Canonical starter dish entry for Discada. Associated cuisine: Mexican cuisine. Origin: Mexico. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q207965,Q62018789,Discada,,584,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q136674388,disco-fries,Disco fries,disco fries,Canonical starter dish entry for Disco fries. Origin: United States. Seeded from Wikidata with an English Wikipedia sitelink.,cat-snacks-and-street-food-7e6d6760,cui-american-60d23958,Q136674388,Disco fries,,586,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q11853198,dishwasher-salmon,dishwasher salmon,dishwasher salmon,Canonical starter dish entry for dishwasher salmon. Origin: United States. Seeded from Wikidata with an English Wikipedia sitelink.,cat-seafood-dishes-67642233,cui-american-60d23958,Q11853198,Dishwasher salmon,,587,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5286620,dobin-mushi,dobin mushi,dobin mushi,Canonical starter dish entry for dobin mushi. Origin: Japan. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q234138,Q5286620,Dobin mushi,,588,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5286688,dobrada,dobrada,dobrada,Canonical starter dish entry for dobrada. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q5286688,Dobrada (food),,589,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q131048134,doghramaj,doghramaj,doghramaj,Canonical starter dish entry for doghramaj. Associated cuisine: Azerbaijani cuisine. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q131048134,Doghramaj,,590,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q2877740,dole-whip,Dole Whip,dole whip,Canonical starter dish entry for Dole Whip. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q2877740,Dole Whip,,591,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q141293,dondurma,dondurma,dondurma,Canonical starter dish entry for dondurma. Origin: Turkey. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q654493,Q141293,Dondurma,,592,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q5296979,doodhpak,Doodhpak,doodhpak,Canonical starter dish entry for Doodhpak. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,,cui-wd-q192087,Q5296979,Doodhpak,,593,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
fam-wd-q11323173,doria,Doria,doria,Canonical starter dish entry for Doria. Associated cuisine: yōshoku. Seeded from Wikidata with an English Wikipedia sitelink.,,,Q11323173,Doria (food),,594,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
