id,label,node_type,parent_id,cuisine_id,category_id,family_id,size_hint
dish-wd-q4838117,Babute,dish,fam-wd-q4838117,,,fam-wd-q4838117,8
dish-wd-q2878129,Bacalao al ajoarriero,dish,fam-wd-q2878129,cui-wd-q622512,,fam-wd-q2878129,8
dish-wd-q541392,Bacalhau à Brás,dish,fam-wd-q541392,cui-wd-q180817,,fam-wd-q541392,8
dish-wd-q4838584,Bacalhau à Gomes de Sá,dish,fam-wd-q4838584,cui-wd-q180817,,fam-wd-q4838584,8
dish-wd-q16496019,Bacalhau à Narcisa,dish,fam-wd-q16496019,cui-wd-q180817,,fam-wd-q16496019,8
dish-wd-q4838586,Bacalhau à Zé do Pipo,dish,fam-wd-q4838586,cui-wd-q180817,,fam-wd-q4838586,8
dish-wd-q4838579,Bacalhau com natas,dish,fam-wd-q4838579,cui-wd-q180817,,fam-wd-q4838579,8
dish-wd-q63228690,baccalà mantecato,dish,fam-wd-q63228690,cui-wd-q192786,,fam-wd-q63228690,8
dish-wd-q3632533,baci di dama,dish,fam-wd-q3632533,cui-wd-q192786,,fam-wd-q3632533,8
dish-wd-q389574,Backhendl,dish,fam-wd-q389574,,,fam-wd-q389574,8
dish-wd-q1093790,Bacon Explosion,dish,fam-wd-q1093790,cui-american-60d23958,,fam-wd-q1093790,8
dish-wd-q4841448,Bagara khana,dish,fam-wd-q4841448,,,fam-wd-q4841448,8
dish-wd-q111317807,Bagharj,dish,fam-wd-q111317807,cui-wd-q684343,,fam-wd-q111317807,8
dish-wd-q96372980,Bagoong fried rice,dish,fam-wd-q96372980,,cat-rice-dishes-e5a0eea5,fam-wd-q96372980,8
dish-wd-q2879351,Bai ye,dish,fam-wd-q2879351,,,fam-wd-q2879351,8
dish-wd-q983160,bak kut teh,dish,fam-wd-q983160,cui-wd-q772247,,fam-wd-q983160,8
dish-wd-q65210830,Bakakak hayam,dish,fam-wd-q65210830,cui-wd-q787497,,fam-wd-q65210830,8
