dish_family_id,cuisine_id,relation_kind
fam-wd-q137217603,cui-wd-q192087,associated
fam-wd-q30592390,cui-wd-q7033037,associated
fam-wd-q951525,cui-wd-q192087,associated
fam-wd-q16836245,cui-wd-q787497,associated
fam-wd-q17998502,cui-wd-q787497,associated
fam-wd-q85744456,cui-wd-q787497,associated
fam-wd-q28163731,cui-wd-q787497,associated
fam-wd-q65210405,cui-wd-q787497,associated
fam-wd-q7309235,cui-wd-q772247,associated
fam-wd-q2428787,cui-wd-q787497,associated
fam-wd-q192892,cui-wd-q9943666,associated
fam-wd-q4833788,cui-wd-q1324207,associated
fam-wd-q84564532,cui-wd-q180817,associated
fam-wd-q65117391,cui-wd-q1150262,associated
fam-wd-q113291374,cui-belgian-f69a2115,associated
fam-wd-q28163754,cui-wd-q787497,associated
fam-wd-q2878129,cui-wd-q622512,associated
fam-wd-q541392,cui-wd-q180817,associated
fam-wd-q4838584,cui-wd-q180817,associated
fam-wd-q16496019,cui-wd-q180817,associated
fam-wd-q4838586,cui-wd-q180817,associated
fam-wd-q4838579,cui-wd-q180817,associated
fam-wd-q63228690,cui-wd-q192786,associated
fam-wd-q3632533,cui-wd-q192786,associated
fam-wd-q1093790,cui-american-60d23958,associated
fam-wd-q111317807,cui-wd-q684343,associated
fam-wd-q983160,cui-wd-q772247,associated
fam-wd-q65210830,cui-wd-q787497,associated
fam-wd-q540289,cui-american-60d23958,associated
fam-wd-q14954819,cui-wd-q192786,associated
fam-wd-q1293258,cui-wd-q787497,associated
fam-wd-q843795,cui-wd-q787497,associated
fam-wd-q4208144,cui-wd-q787497,associated
fam-wd-q12473662,cui-wd-q787497,associated
fam-wd-q4850911,cui-wd-q929239,associated
fam-wd-q3633458,cui-wd-q1199173,associated
fam-wd-q510521,cui-wd-q192087,associated
fam-wd-q1349413,cui-wd-q62458,associated
fam-wd-q958759,cui-wd-q9943666,associated
fam-wd-q2564638,cui-american-60d23958,associated
fam-wd-q107323701,cui-wd-q7033037,associated
fam-wd-q2882471,cui-wd-q918277,associated
fam-wd-q48880901,cui-wd-q826059,associated
fam-wd-q564271,cui-wd-q826059,associated
fam-wd-q5004794,cui-wd-q826059,associated
fam-wd-q5004800,cui-wd-q826059,associated
fam-wd-q564567,cui-wd-q826059,associated
fam-wd-q5004810,cui-wd-q826059,associated
fam-wd-q5004813,cui-wd-q826059,associated
fam-wd-q3848094,cui-wd-q647500,associated
fam-wd-q12197801,cui-wd-q4119264,associated
fam-wd-q1187319,cui-wd-q192087,associated
fam-wd-q109587599,cui-wd-q707908,associated
fam-wd-q2317875,cui-wd-q1346230,associated
fam-wd-q88462839,cui-wd-q622512,associated
fam-wd-q2722375,cui-wd-q192087,associated
fam-wd-q24951925,cui-wd-q772247,associated
fam-wd-q534420,cui-wd-q47629,associated
fam-wd-q812609,cui-wd-q47629,associated
fam-wd-q4876265,cui-american-60d23958,associated
fam-wd-q107416756,cui-wd-q7033037,associated
fam-wd-q64358326,cui-american-60d23958,associated
fam-wd-q1022124,cui-wd-q6661,associated
fam-wd-q16879307,cui-wd-q787497,associated
fam-wd-q62271704,cui-belgian-f69a2115,associated
fam-wd-q3638314,cui-wd-q192786,associated
fam-wd-q152526,cui-wd-q47629,associated
fam-wd-q4899060,cui-wd-q787497,associated
fam-wd-q26806341,cui-wd-q654493,associated
fam-wd-q16498169,cui-wd-q2234037,associated
fam-wd-q648352,cui-wd-q647500,associated
fam-wd-q6088454,cui-wd-q654493,associated
fam-wd-q18456540,cui-wd-q234138,associated
fam-wd-q4357631,cui-american-60d23958,associated
fam-wd-q598222,cui-wd-q756020,associated
fam-wd-q4907305,cui-wd-q787497,associated
fam-wd-q65050511,cui-wd-q1520796,associated
fam-wd-q10964995,cui-wd-q787497,associated
fam-wd-q493784,cui-wd-q647500,associated
fam-wd-q19724350,cui-wd-q787497,associated
fam-wd-q12476406,cui-wd-q787497,associated
fam-wd-q3640406,cui-wd-q192786,associated
fam-wd-q69394023,cui-wd-q192786,associated
fam-wd-q3243732,cui-wd-q654493,associated
fam-wd-q882556,cui-wd-q47629,associated
fam-wd-q529941,cui-wd-q909057,associated
fam-wd-q952366,cui-wd-q192786,associated
fam-wd-q56893397,cui-wd-q4855470,associated
fam-wd-q733196,cui-wd-q192786,associated
fam-wd-q109312469,cui-wd-q622512,associated
fam-wd-q19903564,cui-wd-q180817,associated
fam-wd-q3565924,cui-wd-q180817,associated
fam-wd-q97360429,cui-wd-q787497,associated
fam-wd-q86732805,cui-belgian-f69a2115,associated
fam-wd-q4940616,cui-wd-q6661,associated
fam-wd-q4943588,cui-wd-q192087,associated
fam-wd-q4944190,cui-wd-q1520796,associated
fam-wd-q910996,cui-wd-q647500,associated
fam-wd-q4197759,cui-wd-q787497,associated
fam-wd-q828043,cui-wd-q6661,associated
fam-wd-q83143290,cui-wd-q62458,associated
fam-wd-q12881337,cui-wd-q744027,associated
fam-wd-q597921,cui-wd-q787497,associated
fam-wd-q1855212,cui-belgian-f69a2115,associated
fam-wd-q3646108,cui-wd-q192786,associated
fam-wd-q12512536,cui-wd-q787497,associated
fam-wd-q573516,cui-wd-q918277,associated
fam-wd-q30587715,cui-wd-q787497,associated
fam-wd-q4197962,cui-wd-q787497,associated
fam-wd-q16773515,cui-wd-q787497,associated
fam-wd-q4818958,cui-wd-q4119264,associated
fam-wd-q50634,cui-wd-q826059,associated
fam-wd-q4997935,cui-wd-q787497,associated
fam-wd-q60761467,cui-wd-q787497,associated
fam-wd-q3647314,cui-wd-q192786,associated
fam-wd-q390823,cui-wd-q207965,associated
fam-wd-q42417869,cui-wd-q192786,associated
fam-wd-q5736147,cui-wd-q749847,associated
fam-wd-q1302342,cui-wd-q264327,associated
fam-wd-q627744,cui-wd-q192786,associated
fam-wd-q5016033,cui-wd-q192786,associated
fam-wd-q275508,cui-wd-q192786,associated
fam-wd-q2080641,cui-wd-q6661,associated
fam-wd-q5055611,cui-wd-q654493,associated
fam-wd-q1026488,cui-wd-q622512,associated
fam-wd-q1139527,cui-american-60d23958,associated
fam-wd-q21087825,cui-wd-q787497,associated
fam-wd-q18638792,cui-wd-q6661,associated
fam-wd-q597159,cui-wd-q622512,associated
fam-wd-q61743260,cui-wd-q192786,associated
fam-wd-q568364,cui-wd-q192786,associated
fam-wd-q138553,cui-belgian-f69a2115,associated
fam-wd-q876624,cui-american-60d23958,associated
fam-wd-q3661967,cui-wd-q192786,associated
fam-wd-q3661969,cui-wd-q192786,associated
fam-wd-q3662049,cui-wd-q192786,associated
fam-wd-q743714,cui-wd-q622512,associated
fam-wd-q5057827,cui-american-60d23958,associated
fam-wd-q109353074,cui-wd-q207965,associated
fam-wd-q867426,cui-wd-q787497,associated
fam-wd-q11114189,cui-wd-q787497,associated
fam-wd-q5065284,cui-american-60d23958,associated
fam-wd-q1057953,cui-wd-q749847,associated
fam-wd-q3274058,cui-wd-q826059,associated
fam-wd-q54371849,cui-wd-q826059,associated
fam-wd-q703286,cui-wd-q234138,associated
fam-wd-q2955932,cui-wd-q207965,associated
fam-wd-q1061604,cui-wd-q192087,associated
fam-wd-q2378108,cui-wd-q1199026,associated
fam-wd-q12618459,cui-wd-q647500,associated
fam-wd-q28169436,cui-wd-q1089120,associated
fam-wd-q136791457,cui-american-60d23958,associated
fam-wd-q1067884,cui-wd-q6661,associated
fam-wd-q106194785,cui-wd-q1199026,associated
fam-wd-q111609502,cui-wd-q6661,associated
fam-wd-q1068574,cui-wd-q234138,associated
fam-wd-q2468860,cui-wd-q826059,associated
fam-wd-q861293,cui-wd-q918277,associated
fam-wd-q125357007,cui-american-60d23958,associated
fam-wd-q5094552,cui-american-60d23958,associated
fam-wd-q114352250,cui-wd-q192087,associated
fam-wd-q136953874,cui-wd-q772247,associated
fam-wd-q111589124,cui-wd-q1068545,associated
fam-wd-q6013649,cui-wd-q1520796,associated
fam-wd-q5098719,cui-wd-q207965,associated
fam-wd-q863794,cui-wd-q207965,associated
fam-wd-q5331853,cui-wd-q10876842,associated
fam-wd-q464545,cui-wd-q234138,associated
fam-wd-q5102345,cui-wd-q192087,associated
fam-wd-q5103662,cui-wd-q6661,associated
fam-wd-q25038426,cui-american-60d23958,associated
