from_dish_id,to_dish_id,relation_type,weight
dish-hae-mee-0601f718,dish-lor-mee-ceb0f80e,same_category_neighbor,0.350
dish-lor-mee-ceb0f80e,dish-mee-bandung-422f91b2,same_category_neighbor,0.350
dish-mee-bandung-422f91b2,dish-mee-goreng-c9905dcc,same_category_neighbor,0.350
dish-mee-goreng-c9905dcc,dish-mee-kolo-d34110f3,same_category_neighbor,0.350
dish-mee-kolo-d34110f3,dish-mi-rebus-26aeeb6b,same_category_neighbor,0.350
dish-mi-rebus-26aeeb6b,dish-mee-siam-e89c7fa6,same_category_neighbor,0.350
dish-mee-siam-e89c7fa6,dish-mee-tauhu-d13b6e42,same_category_neighbor,0.350
dish-mee-tauhu-d13b6e42,dish-rice-noodle-roll-c5f40fef,same_category_neighbor,0.350
dish-rice-noodle-roll-c5f40fef,dish-curry-chicken-noodles-24b1ecc3,same_category_neighbor,0.350
dish-curry-chicken-noodles-24b1ecc3,dish-katong-laksa-eb3c3b0f,same_category_neighbor,0.350
dish-katong-laksa-eb3c3b0f,dish-vegetarian-bee-hoon-49e4c61e,same_category_neighbor,0.350
dish-vegetarian-bee-hoon-49e4c61e,dish-wd-q7808550,same_category_neighbor,0.350
dish-wd-q7808550,dish-boat-noodles-a5021f93,same_category_neighbor,0.350
dish-boat-noodles-a5021f93,dish-nam-ngiao-8b609936,same_category_neighbor,0.350
dish-nam-ngiao-8b609936,dish-pad-see-ew-915fe511,same_category_neighbor,0.350
dish-pad-see-ew-915fe511,dish-rat-na-f7dd1b1d,same_category_neighbor,0.350
dish-rat-na-f7dd1b1d,dish-sukhothai-rice-noodles-a26d209b,same_category_neighbor,0.350
dish-sukhothai-rice-noodles-a26d209b,dish-laghman-food-fe22ecbc,same_category_neighbor,0.350
dish-laghman-food-fe22ecbc,dish-naryn-dish-3eb53b7c,same_category_neighbor,0.350
dish-naryn-dish-3eb53b7c,dish-idiyappam-ed19b5ae,same_category_neighbor,0.350
