entity_type,entity_id,alias,normalized_alias,language_code,source_id,is_preferred
ingredient,ing-mealdb-169,Ground Almonds,ground almonds,en,src-mealdb,true
ingredient,ing-mealdb-170,Ground Cumin,ground cumin,en,src-mealdb,true
ingredient,ing-mealdb-171,Ground Ginger,ground ginger,en,src-mealdb,true
ingredient,ing-mealdb-172,Gruyère,gruyere,en,src-mealdb,true
ingredient,ing-mealdb-173,Hard Taco Shells,hard taco shells,en,src-mealdb,true
ingredient,ing-mealdb-175,Harissa Spice,harissa spice,en,src-mealdb,true
ingredient,ing-mealdb-176,Heavy Cream,heavy cream,en,src-mealdb,true
ingredient,ing-mealdb-177,Honey,honey,en,src-mealdb,true
ingredient,ing-mealdb-178,Horseradish,horseradish,en,src-mealdb,true
ingredient,ing-mealdb-179,Hot Beef Stock,hot beef stock,en,src-mealdb,true
ingredient,ing-mealdb-180,Hotsauce,hotsauce,en,src-mealdb,true
ingredient,ing-mealdb-181,Ice Cream,ice cream,en,src-mealdb,true
ingredient,ing-mealdb-182,Italian Fennel Sausages,italian fennel sausages,en,src-mealdb,true
ingredient,ing-mealdb-183,Italian Seasoning,italian seasoning,en,src-mealdb,true
ingredient,ing-mealdb-184,Jalapeno,jalapeno,en,src-mealdb,true
ingredient,ing-mealdb-185,Jasmine Rice,jasmine rice,en,src-mealdb,true
ingredient,ing-mealdb-186,Jerusalem Artichokes,jerusalem artichokes,en,src-mealdb,true
ingredient,ing-mealdb-187,Kale,kale,en,src-mealdb,true
ingredient,ing-mealdb-188,Khus Khus,khus khus,en,src-mealdb,true
ingredient,ing-mealdb-189,King Prawns,king prawns,en,src-mealdb,true
ingredient,ing-mealdb-190,Kosher Salt,kosher salt,en,src-mealdb,true
ingredient,ing-mealdb-191,Lamb,lamb,en,src-mealdb,true
ingredient,ing-mealdb-192,Lamb Loin Chops,lamb loin chops,en,src-mealdb,true
ingredient,ing-mealdb-193,Lamb Mince,lamb mince,en,src-mealdb,true
ingredient,ing-mealdb-194,Lasagne Sheets,lasagne sheets,en,src-mealdb,true
ingredient,ing-mealdb-195,Lean Minced Beef,lean minced beef,en,src-mealdb,true
ingredient,ing-mealdb-196,Leek,leek,en,src-mealdb,true
ingredient,ing-mealdb-196,<http://purl.obolibrary.org/obo/NCBITaxon_4681>,http purl obolibrary org obo ncbitaxon 4681,en,src-foodon,false
ingredient,ing-mealdb-197,Lemon,lemon,en,src-mealdb,true
ingredient,ing-mealdb-197,<http://purl.obolibrary.org/obo/NCBITaxon_2708>,http purl obolibrary org obo ncbitaxon 2708,en,src-foodon,false
ingredient,ing-mealdb-198,Lemon Juice,lemon juice,en,src-mealdb,true
ingredient,ing-mealdb-199,Lemon Zest,lemon zest,en,src-mealdb,true
ingredient,ing-mealdb-200,Lemons,lemons,en,src-mealdb,true
ingredient,ing-mealdb-201,Lettuce,lettuce,en,src-mealdb,true
ingredient,ing-mealdb-202,Lime,lime,en,src-mealdb,true
ingredient,ing-mealdb-202,<http://purl.obolibrary.org/obo/FOODON_03411067>,http purl obolibrary org obo foodon 03411067,en,src-foodon,false
ingredient,ing-mealdb-203,Little Gem Lettuce,little gem lettuce,en,src-mealdb,true
ingredient,ing-mealdb-204,Macaroni,macaroni,en,src-mealdb,true
ingredient,ing-mealdb-205,Mackerel,mackerel,en,src-mealdb,true
ingredient,ing-mealdb-205,scomber spp.,scomber spp,en,src-foodon,false
ingredient,ing-mealdb-206,Madras Paste,madras paste,en,src-mealdb,true
ingredient,ing-mealdb-207,Marjoram,marjoram,en,src-mealdb,true
ingredient,ing-mealdb-208,Massaman Curry Paste,massaman curry paste,en,src-mealdb,true
ingredient,ing-mealdb-209,Medjool Dates,medjool dates,en,src-mealdb,true
ingredient,ing-mealdb-210,Meringue Nests,meringue nests,en,src-mealdb,true
ingredient,ing-mealdb-211,Milk,milk,en,src-mealdb,true
ingredient,ing-mealdb-212,Minced Garlic,minced garlic,en,src-mealdb,true
ingredient,ing-mealdb-213,Miniature Marshmallows,miniature marshmallows,en,src-mealdb,true
ingredient,ing-mealdb-214,Mint,mint,en,src-mealdb,true
ingredient,ing-mealdb-215,Monterey Jack Cheese,monterey jack cheese,en,src-mealdb,true
ingredient,ing-mealdb-216,Mozzarella Balls,mozzarella balls,en,src-mealdb,true
ingredient,ing-mealdb-217,Muscovado Sugar,muscovado sugar,en,src-mealdb,true
ingredient,ing-mealdb-218,Mushrooms,mushrooms,en,src-mealdb,true
ingredient,ing-mealdb-219,Mustard,mustard,en,src-mealdb,true
ingredient,ing-mealdb-220,Mustard Powder,mustard powder,en,src-mealdb,true
ingredient,ing-mealdb-221,Mustard Seeds,mustard seeds,en,src-mealdb,true
ingredient,ing-mealdb-222,Nutmeg,nutmeg,en,src-mealdb,true
ingredient,ing-mealdb-223,Oil,oil,en,src-mealdb,true
ingredient,ing-mealdb-224,Olive Oil,olive oil,en,src-mealdb,true
